Tempo_µs,Ciclo_CPU,Referencia_Motor,Vel_Real
456.0,424.0,0.0,0.0
972.0,512.0,0.0,0.0
1500.0,532.0,0.0,0.0
2064.0,556.0,0.0,0.0
2632.0,576.0,0.0,0.0
14720.0,12084.0,0.0,0.0
32400.0,17680.0,0.0,0.0
50100.0,17684.0,0.0,0.0
67760.0,17676.0,0.0,0.0
85440.0,17684.0,0.0,0.0
103140.0,17680.0,0.0,0.0
121840.0,18716.0,0.0,0.0
140560.0,18724.0,0.0,0.0
159300.0,18720.0,0.0,0.0
178000.0,18716.0,0.0,0.0
196720.0,18724.0,0.0,0.0
215460.0,18716.0,0.0,0.0
234160.0,18724.0,0.0,0.0
252880.0,18716.0,0.0,0.0
271620.0,18724.0,0.0,0.0
290320.0,18720.0,0.0,0.0
309040.0,18716.0,0.0,0.0
327780.0,18720.0,0.0,0.0
346480.0,18724.0,0.0,0.0
365200.0,18716.0,0.0,0.0
383940.0,18720.0,0.0,0.0
402640.0,18720.0,0.0,0.0
421360.0,18720.0,0.0,0.0
440100.0,18720.0,0.0,0.0
458800.0,18720.0,0.0,0.0
477520.0,18724.0,0.0,0.0
496260.0,18716.0,0.0,0.0
514980.0,18724.0,1500.0,0.0
536892.0,21832.0,1500.0,21.0
559696.0,22880.0,1500.0,21.0
582652.0,22880.0,1500.0,192.0
606496.0,23924.0,1500.0,192.0
630492.0,23916.0,1500.0,342.0
654344.0,23920.0,1500.0,342.0
678340.0,23920.0,1500.0,407.0
702176.0,23920.0,1500.0,407.0
726172.0,23920.0,1500.0,557.0
750016.0,23920.0,1500.0,557.0
774008.0,23920.0,1500.0,750.0
797856.0,23920.0,1500.0,750.0
821860.0,23920.0,1500.0,707.0
845696.0,23920.0,1500.0,707.0
869692.0,23920.0,1500.0,814.0
893536.0,23924.0,1500.0,814.0
917536.0,23920.0,1500.0,857.0
941376.0,23916.0,1500.0,857.0
965372.0,23920.0,1500.0,900.0
989224.0,23924.0,1500.0,900.0
1013220.0,23916.0,1500.0,1050.0
1039136.0,26000.0,1500.0,1050.0
1065212.0,26000.0,1500.0,1028.0
1091136.0,26000.0,1500.0,1028.0
1117224.0,26000.0,1500.0,1135.0
1143136.0,26000.0,1500.0,1135.0
1169212.0,26000.0,1500.0,1135.0
1195136.0,26000.0,1500.0,1135.0
1221212.0,26000.0,1500.0,1178.0
1247136.0,26000.0,1500.0,1178.0
1273212.0,26000.0,1500.0,1242.0
1299136.0,26000.0,1500.0,1242.0
1325212.0,26000.0,1500.0,1221.0
1351136.0,26000.0,1500.0,1221.0
1377212.0,26000.0,1500.0,1242.0
1403136.0,26004.0,1500.0,1242.0
1429212.0,25996.0,1500.0,1221.0
1455144.0,26000.0,1500.0,1221.0
1481212.0,26000.0,1500.0,1328.0
1507136.0,26000.0,1500.0,1328.0
1533212.0,26000.0,1500.0,1242.0
1559136.0,26000.0,1500.0,1242.0
1585216.0,26000.0,1500.0,1178.0
1611136.0,26000.0,1500.0,1178.0
1637212.0,26000.0,1500.0,1242.0
1663136.0,26000.0,1500.0,1242.0
1689212.0,26000.0,1500.0,1264.0
1715136.0,26000.0,1500.0,1264.0
1741212.0,26000.0,1500.0,1221.0
1767136.0,26000.0,1500.0,1221.0
1793220.0,26004.0,1500.0,1307.0
1819136.0,25996.0,1500.0,1307.0
1845212.0,26000.0,1500.0,1285.0
1871136.0,26000.0,1500.0,1285.0
1897212.0,26000.0,1500.0,1285.0
1923136.0,26000.0,1500.0,1285.0
1949212.0,26004.0,1500.0,1371.0
1975136.0,25996.0,1500.0,1371.0
2001212.0,26000.0,1500.0,1242.0
2027136.0,26000.0,1500.0,1242.0
2053216.0,26000.0,1500.0,1328.0
2079136.0,26000.0,1500.0,1328.0
2105212.0,26000.0,1500.0,1350.0
2131136.0,26000.0,1500.0,1350.0
2157212.0,26000.0,1500.0,1307.0
2183136.0,26000.0,1500.0,1307.0
2209212.0,26000.0,1500.0,1435.0
2235136.0,26000.0,1500.0,1435.0
2261212.0,26004.0,1500.0,1307.0
2287136.0,25996.0,1500.0,1307.0
2313224.0,26000.0,1500.0,1264.0
2339136.0,26000.0,1500.0,1264.0
2365212.0,26000.0,1500.0,1414.0
2391136.0,26000.0,1500.0,1414.0
2417220.0,26000.0,1500.0,1307.0
2443136.0,26000.0,1500.0,1307.0
2469212.0,26000.0,1500.0,1285.0
2495136.0,26004.0,1500.0,1285.0
2521224.0,26012.0,1500.0,1307.0
2547136.0,25984.0,1500.0,1307.0
2573212.0,26004.0,1500.0,1371.0
2599136.0,25996.0,1500.0,1371.0
2625212.0,26000.0,1500.0,1371.0
2651144.0,26000.0,1500.0,1371.0
2677212.0,26000.0,1500.0,1285.0
2703136.0,26000.0,1500.0,1285.0
2729212.0,26000.0,1500.0,1328.0
2755136.0,26000.0,1500.0,1328.0
2781220.0,26000.0,1500.0,1350.0
2807136.0,26000.0,1500.0,1350.0
2833212.0,26000.0,1500.0,1350.0
2859144.0,26000.0,1500.0,1350.0
2885212.0,26000.0,1500.0,1414.0
2911136.0,26000.0,1500.0,1414.0
2937212.0,26000.0,1500.0,1285.0
2963136.0,26000.0,1500.0,1285.0
2989212.0,26004.0,1500.0,1414.0
3015136.0,25996.0,1500.0,1414.0
3041220.0,26000.0,1500.0,1392.0
3067136.0,26000.0,1500.0,1392.0
3093212.0,26000.0,1500.0,1285.0
3119144.0,26000.0,1500.0,1285.0
3145212.0,26000.0,1500.0,1328.0
3171136.0,26000.0,1500.0,1328.0
3197212.0,26000.0,1500.0,1328.0
3223144.0,26000.0,1500.0,1328.0
3249216.0,26000.0,1500.0,1264.0
3275136.0,26000.0,1500.0,1264.0
3301220.0,26004.0,1500.0,1392.0
3327136.0,25996.0,1500.0,1392.0
3353212.0,26000.0,1500.0,1328.0
3379136.0,26000.0,1500.0,1328.0
3405212.0,26004.0,1500.0,1371.0
3431136.0,26000.0,1500.0,1371.0
3457212.0,25996.0,1500.0,1350.0
3483136.0,26000.0,1500.0,1350.0
3509212.0,26000.0,1500.0,1285.0
3535136.0,26000.0,1500.0,1285.0
3561212.0,26000.0,1500.0,1350.0
3587136.0,26000.0,1500.0,1350.0
3613212.0,26000.0,1500.0,1285.0
3639136.0,26000.0,1500.0,1285.0
3665212.0,26000.0,1500.0,1307.0
3691136.0,26000.0,1500.0,1307.0
3717216.0,26000.0,1500.0,1371.0
3743136.0,26000.0,1500.0,1371.0
3769212.0,26000.0,1500.0,1328.0
3795136.0,26000.0,1500.0,1328.0
3821220.0,26008.0,1500.0,1350.0
3847136.0,25992.0,1500.0,1350.0
3873212.0,26004.0,1500.0,1264.0
3899136.0,25996.0,1500.0,1264.0
3925212.0,26000.0,1500.0,1328.0
3951136.0,26004.0,1500.0,1328.0
3977212.0,25996.0,1500.0,1371.0
4003136.0,26000.0,1500.0,1371.0
4029224.0,26000.0,1500.0,1371.0
4055136.0,26000.0,1500.0,1371.0
4081220.0,26000.0,1500.0,1414.0
4107136.0,26004.0,1500.0,1414.0
4133212.0,25996.0,1500.0,1350.0
4159136.0,26000.0,1500.0,1350.0
4185220.0,26008.0,1500.0,1392.0
4211136.0,25992.0,1500.0,1392.0
4237212.0,26000.0,1500.0,1414.0
4263136.0,26000.0,1500.0,1414.0
4289220.0,26000.0,1500.0,1285.0
4315144.0,26000.0,1500.0,1285.0
4341212.0,26000.0,1500.0,1328.0
4367144.0,26008.0,1500.0,1328.0
4393212.0,25992.0,1500.0,1328.0
4419136.0,26000.0,1500.0,1328.0
4445216.0,26000.0,1500.0,1371.0
4471136.0,26000.0,1500.0,1371.0
4497212.0,26000.0,1500.0,1307.0
4523136.0,26000.0,1500.0,1307.0
4549212.0,26000.0,1500.0,1392.0
4575144.0,26000.0,1500.0,1392.0
4601212.0,26000.0,1500.0,1392.0
4627136.0,26000.0,1500.0,1392.0
4653212.0,26000.0,1500.0,1371.0
4679136.0,26000.0,1500.0,1371.0
4705220.0,26000.0,1500.0,1350.0
4731136.0,26004.0,1500.0,1350.0
4757212.0,25996.0,1500.0,1285.0
4783144.0,26000.0,1500.0,1285.0
4809212.0,26000.0,1500.0,1350.0
4835136.0,26000.0,1500.0,1350.0
4861212.0,26000.0,1500.0,1264.0
4887136.0,26000.0,1500.0,1264.0
4913216.0,26000.0,1500.0,1328.0
4939136.0,26000.0,1500.0,1328.0
4965212.0,26000.0,1500.0,1307.0
4991136.0,26004.0,1500.0,1307.0
5017212.0,25996.0,1500.0,1435.0
5043136.0,26000.0,1500.0,1435.0
5069212.0,26000.0,1500.0,1307.0
5095136.0,26000.0,1500.0,1307.0
5121220.0,26004.0,1500.0,1328.0
5147136.0,25996.0,1500.0,1328.0
5173212.0,26000.0,1500.0,1264.0
5199136.0,26004.0,1500.0,1264.0
5225212.0,25996.0,1500.0,1307.0
5251136.0,26000.0,1500.0,1307.0
5277212.0,26000.0,1500.0,1350.0
5303136.0,26000.0,1500.0,1350.0
5329212.0,26000.0,1500.0,1307.0
5355136.0,26000.0,1500.0,1307.0
5381216.0,26000.0,1500.0,1371.0
5407136.0,26000.0,1500.0,1371.0
5433212.0,26000.0,1500.0,1307.0
5459136.0,26000.0,1500.0,1307.0
5485212.0,26000.0,1500.0,1328.0
5511136.0,26004.0,1500.0,1328.0
5537212.0,25996.0,1500.0,1371.0
5563136.0,26000.0,1500.0,1371.0
5589220.0,26000.0,1500.0,1371.0
5615136.0,26000.0,1500.0,1371.0
5641212.0,26000.0,1500.0,1285.0
5667136.0,26000.0,1500.0,1285.0
5693212.0,26000.0,1500.0,1307.0
5719136.0,26004.0,1500.0,1307.0
5745212.0,25996.0,1500.0,1371.0
5771136.0,26000.0,1500.0,1371.0
5797212.0,26000.0,1500.0,1285.0
5823136.0,26004.0,1500.0,1285.0
5849224.0,26004.0,1500.0,1307.0
5875136.0,25992.0,1500.0,1307.0
5901212.0,26000.0,1500.0,1350.0
5927136.0,26000.0,1500.0,1350.0
5953212.0,26000.0,1500.0,1328.0
5979144.0,26000.0,1500.0,1328.0
6005220.0,26000.0,1500.0,1478.0
6031136.0,26004.0,1500.0,1478.0
6057212.0,25996.0,1500.0,1307.0
6083136.0,26004.0,1500.0,1307.0
6109220.0,25996.0,1500.0,1392.0
6135136.0,26000.0,1500.0,1392.0
6161212.0,26000.0,1500.0,1328.0
6187136.0,26000.0,1500.0,1328.0
6213212.0,26004.0,1500.0,1371.0
6239136.0,25996.0,1500.0,1371.0
6265212.0,26000.0,1500.0,1350.0
6291136.0,26000.0,1500.0,1350.0
6317212.0,26000.0,1500.0,1392.0
6343136.0,26004.0,1500.0,1392.0
6369212.0,26000.0,1500.0,1328.0
6395136.0,25996.0,1500.0,1328.0
6421212.0,26004.0,1500.0,1371.0
6447144.0,25996.0,1500.0,1371.0
6473220.0,26000.0,1500.0,1285.0
6499136.0,26000.0,1500.0,1285.0
6525212.0,26000.0,1500.0,1307.0
6551136.0,26000.0,1500.0,1307.0
6577220.0,26004.0,1500.0,1350.0
6603136.0,25996.0,1500.0,1350.0
6629212.0,26000.0,1500.0,1307.0
6655144.0,26008.0,1500.0,1307.0
6681212.0,25992.0,1500.0,1371.0
6707136.0,26000.0,1500.0,1371.0
6733212.0,26000.0,1500.0,1285.0
6759136.0,26000.0,1500.0,1285.0
6785212.0,26000.0,1500.0,1392.0
6811136.0,26000.0,1500.0,1392.0
6837212.0,26000.0,1500.0,1350.0
6863136.0,26000.0,1500.0,1350.0
6889220.0,26000.0,1500.0,1392.0
6915136.0,26000.0,1500.0,1392.0
6941212.0,26000.0,1500.0,1371.0
