Tempo_µs,SetPoint,PWM,Vel_Real
624.0,750.0,0.0,0.0
1284.0,750.0,0.0,0.0
1976.0,750.0,0.0,0.0
2680.0,750.0,0.0,0.0
17828.0,750.0,0.0,0.0
36548.0,750.0,0.0,0.0
55268.0,750.0,0.0,0.0
73988.0,750.0,0.0,0.0
92708.0,750.0,0.0,0.0
111476.0,750.0,0.0,0.0
131188.0,750.0,0.0,0.0
150948.0,750.0,0.0,0.0
170708.0,750.0,0.0,0.0
190476.0,750.0,0.0,0.0
210228.0,750.0,0.0,0.0
230036.0,750.0,0.0,0.0
249748.0,750.0,0.0,0.0
269508.0,750.0,0.0,0.0
289268.0,750.0,0.0,0.0
309028.0,750.0,0.0,0.0
328788.0,750.0,0.0,0.0
348596.0,750.0,0.0,0.0
368308.0,750.0,0.0,0.0
388068.0,750.0,0.0,0.0
407828.0,750.0,0.0,0.0
427588.0,750.0,0.0,0.0
447348.0,750.0,0.0,0.0
467156.0,750.0,0.0,0.0
486868.0,750.0,0.0,0.0
506628.0,750.0,0.0,0.0
526388.0,750.0,0.0,0.0
546148.0,750.0,0.0,0.0
565908.0,750.0,0.0,0.0
585716.0,750.0,0.0,0.0
605428.0,750.0,0.0,0.0
625188.0,750.0,0.0,0.0
644948.0,750.0,0.0,0.0
664708.0,750.0,0.0,0.0
684468.0,750.0,0.0,0.0
704276.0,750.0,0.0,0.0
723992.0,750.0,0.0,0.0
743748.0,750.0,0.0,0.0
763508.0,750.0,0.0,0.0
783268.0,750.0,0.0,0.0
803028.0,750.0,0.0,0.0
822836.0,750.0,0.0,0.0
842548.0,750.0,0.0,0.0
862308.0,750.0,0.0,0.0
882068.0,750.0,0.0,0.0
901828.0,750.0,0.0,0.0
921588.0,750.0,0.0,0.0
941396.0,750.0,0.0,0.0
961108.0,750.0,0.0,0.0
980868.0,750.0,0.0,0.0
1000628.0,750.0,0.0,0.0
1021428.0,750.0,0.0,0.0
1042276.0,750.0,0.0,0.0
1063028.0,750.0,0.0,0.0
1083828.0,750.0,0.0,0.0
1104628.0,750.0,0.0,0.0
1125428.0,750.0,0.0,0.0
1146276.0,750.0,0.0,0.0
1167028.0,750.0,0.0,0.0
1187828.0,750.0,0.0,0.0
1208628.0,750.0,0.0,0.0
1229428.0,750.0,0.0,0.0
1250276.0,750.0,0.0,0.0
1271028.0,750.0,0.0,0.0
1291828.0,750.0,0.0,0.0
1312628.0,750.0,0.0,0.0
1333428.0,750.0,0.0,0.0
1354276.0,750.0,0.0,0.0
1375028.0,750.0,0.0,0.0
1395828.0,750.0,0.0,0.0
1416628.0,750.0,0.0,0.0
1437428.0,750.0,0.0,0.0
1458276.0,750.0,0.0,0.0
1479028.0,750.0,0.0,0.0
1499828.0,750.0,0.0,0.0
1520628.0,750.0,0.0,0.0
1541428.0,750.0,0.0,0.0
1562276.0,750.0,0.0,0.0
1583028.0,750.0,0.0,0.0
1603828.0,750.0,0.0,0.0
1624628.0,750.0,0.0,0.0
1645428.0,750.0,0.0,0.0
1666276.0,750.0,0.0,0.0
1687028.0,750.0,0.0,0.0
1707828.0,750.0,0.0,0.0
1728628.0,750.0,0.0,0.0
1749428.0,750.0,0.0,0.0
1770276.0,750.0,0.0,0.0
1791028.0,750.0,0.0,0.0
1811828.0,750.0,0.0,0.0
1832628.0,750.0,0.0,0.0
1853428.0,750.0,0.0,0.0
1874276.0,750.0,0.0,0.0
1895028.0,750.0,0.0,0.0
1915828.0,750.0,0.0,0.0
1936628.0,750.0,0.0,0.0
1957428.0,750.0,0.0,0.0
1978276.0,750.0,0.0,0.0
1999028.0,750.0,0.0,0.0
2019828.0,750.0,0.0,0.0
2040628.0,750.0,0.0,0.0
2061428.0,750.0,0.0,0.0
2082276.0,750.0,0.0,0.0
2103028.0,750.0,0.0,0.0
2123828.0,750.0,0.0,0.0
2144628.0,750.0,0.0,0.0
2165428.0,750.0,0.0,0.0
2186280.0,750.0,0.0,0.0
2207028.0,750.0,0.0,0.0
2227828.0,750.0,0.0,0.0
2248628.0,750.0,0.0,0.0
2269428.0,750.0,0.0,0.0
2290276.0,750.0,0.0,0.0
2311028.0,750.0,0.0,0.0
2331828.0,750.0,0.0,0.0
2352628.0,750.0,0.0,0.0
2373428.0,750.0,0.0,0.0
2394276.0,750.0,0.0,0.0
2415028.0,750.0,0.0,0.0
2435828.0,750.0,0.0,0.0
2456628.0,750.0,0.0,0.0
2477428.0,750.0,0.0,0.0
2498276.0,750.0,0.0,0.0
2519028.0,750.0,0.0,0.0
2539828.0,750.0,0.0,0.0
2560628.0,750.0,0.0,0.0
2581428.0,750.0,0.0,0.0
2602276.0,750.0,0.0,0.0
2623028.0,750.0,0.0,0.0
2643828.0,750.0,0.0,0.0
2664628.0,750.0,0.0,0.0
2685428.0,750.0,0.0,0.0
2706276.0,750.0,0.0,0.0
2727028.0,750.0,0.0,0.0
2747828.0,750.0,0.0,0.0
2768628.0,750.0,0.0,0.0
2789428.0,750.0,0.0,0.0
2810276.0,750.0,0.0,0.0
2831028.0,750.0,0.0,0.0
2851828.0,750.0,0.0,0.0
2872628.0,750.0,0.0,0.0
2893428.0,750.0,0.0,0.0
2914276.0,750.0,0.0,0.0
2935028.0,750.0,0.0,0.0
2955828.0,750.0,0.0,0.0
2976628.0,750.0,0.0,0.0
2997428.0,750.0,0.0,0.0
3018276.0,750.0,0.0,0.0
3039028.0,750.0,0.0,0.0
3059828.0,750.0,0.0,0.0
3080628.0,750.0,0.0,0.0
3101428.0,750.0,0.0,0.0
3122276.0,750.0,0.0,0.0
3143028.0,750.0,0.0,0.0
3163828.0,750.0,0.0,0.0
3184628.0,750.0,0.0,0.0
3205428.0,750.0,0.0,0.0
3226276.0,750.0,0.0,0.0
3247028.0,750.0,0.0,0.0
3267828.0,750.0,0.0,0.0
3288628.0,750.0,0.0,0.0
3309428.0,750.0,0.0,0.0
3330276.0,750.0,0.0,0.0
3351028.0,750.0,0.0,0.0
3371828.0,750.0,0.0,0.0
3392628.0,750.0,0.0,0.0
3413428.0,750.0,0.0,0.0
3434276.0,750.0,0.0,0.0
3455028.0,750.0,0.0,0.0
3475828.0,750.0,0.0,0.0
3496628.0,750.0,0.0,0.0
3517428.0,750.0,0.0,0.0
3538276.0,750.0,0.0,0.0
3559028.0,750.0,0.0,0.0
3579828.0,750.0,0.0,0.0
3600628.0,750.0,0.0,0.0
3621428.0,750.0,0.0,0.0
3642276.0,750.0,0.0,0.0
3663028.0,750.0,0.0,0.0
3683828.0,750.0,0.0,0.0
3704628.0,750.0,0.0,0.0
3725428.0,750.0,0.0,0.0
3746276.0,750.0,0.0,0.0
3767028.0,750.0,0.0,0.0
3787828.0,750.0,0.0,0.0
3808628.0,750.0,0.0,0.0
3829428.0,750.0,0.0,0.0
3850280.0,750.0,0.0,0.0
3871028.0,750.0,0.0,0.0
3891828.0,750.0,0.0,0.0
3912628.0,750.0,0.0,0.0
3933428.0,750.0,0.0,0.0
3954276.0,750.0,0.0,0.0
3975028.0,750.0,0.0,0.0
3995828.0,750.0,0.0,0.0
4016628.0,750.0,0.0,0.0
4037428.0,750.0,0.0,0.0
4058276.0,750.0,0.0,0.0
4079028.0,750.0,0.0,0.0
4099828.0,750.0,0.0,0.0
4120628.0,750.0,0.0,0.0
4141428.0,750.0,0.0,0.0
4162276.0,750.0,0.0,0.0
4183028.0,750.0,0.0,0.0
4203828.0,750.0,0.0,0.0
4224628.0,750.0,0.0,0.0
4245428.0,750.0,0.0,0.0
4266276.0,750.0,0.0,0.0
4287028.0,750.0,0.0,0.0
4307828.0,750.0,0.0,0.0
4328628.0,750.0,0.0,0.0
4349428.0,750.0,0.0,0.0
4370276.0,750.0,0.0,0.0
4391028.0,750.0,0.0,0.0
4411828.0,750.0,0.0,0.0
4432628.0,750.0,0.0,0.0
4453428.0,750.0,0.0,0.0
4474276.0,750.0,0.0,0.0
4495028.0,750.0,0.0,0.0
4515828.0,750.0,0.0,0.0
4536628.0,750.0,0.0,0.0
4557428.0,750.0,0.0,0.0
4578276.0,750.0,0.0,0.0
4599028.0,750.0,0.0,0.0
4619828.0,750.0,0.0,0.0
4640628.0,750.0,0.0,0.0
4661428.0,750.0,0.0,0.0
4682276.0,750.0,0.0,0.0
4703028.0,750.0,0.0,0.0
4723828.0,750.0,0.0,0.0
4744628.0,750.0,0.0,0.0
4765428.0,750.0,0.0,0.0
4786276.0,750.0,0.0,0.0
4807028.0,750.0,0.0,0.0
4827828.0,750.0,0.0,0.0
4848628.0,750.0,0.0,0.0
4869428.0,750.0,0.0,0.0
4890276.0,750.0,0.0,0.0
4911028.0,750.0,0.0,0.0
4931828.0,750.0,0.0,0.0
4952628.0,750.0,0.0,0.0
4973428.0,750.0,0.0,0.0
4994276.0,750.0,0.0,0.0
5015028.0,750.0,0.0,0.0
5035828.0,750.0,0.0,0.0
5056628.0,750.0,0.0,0.0
5077428.0,750.0,0.0,0.0
5098276.0,750.0,0.0,0.0
5119028.0,750.0,0.0,0.0
5139828.0,750.0,0.0,0.0
5160628.0,750.0,0.0,0.0
5181428.0,750.0,0.0,0.0
5202276.0,750.0,0.0,0.0
5223028.0,750.0,0.0,0.0
5243828.0,750.0,0.0,0.0
5264628.0,750.0,0.0,0.0
5285428.0,750.0,0.0,0.0
5306276.0,750.0,0.0,0.0
5327028.0,750.0,0.0,0.0
5347828.0,750.0,0.0,0.0
5368628.0,750.0,0.0,0.0
5389428.0,750.0,0.0,0.0
5410276.0,750.0,0.0,0.0
5431028.0,750.0,0.0,0.0
5451828.0,750.0,0.0,0.0
5472628.0,750.0,0.0,0.0
5493428.0,750.0,0.0,0.0
5514280.0,750.0,0.0,0.0
5535028.0,750.0,0.0,0.0
5555828.0,750.0,0.0,0.0
5576628.0,750.0,0.0,0.0
5597428.0,750.0,0.0,0.0
5618276.0,750.0,0.0,0.0
5639028.0,750.0,0.0,0.0
5659828.0,750.0,0.0,0.0
5680628.0,750.0,0.0,0.0
5701428.0,750.0,0.0,0.0
5722276.0,750.0,0.0,0.0
5743028.0,750.0,0.0,0.0
5763828.0,750.0,0.0,0.0
5784628.0,750.0,0.0,0.0
5805428.0,750.0,0.0,0.0
5826276.0,750.0,0.0,0.0
5847028.0,750.0,0.0,0.0
5867828.0,750.0,0.0,0.0
5888628.0,750.0,0.0,0.0
5909428.0,750.0,0.0,0.0
5930276.0,750.0,0.0,0.0
5951028.0,750.0,0.0,0.0
5971828.0,750.0,0.0,0.0
5992628.0,750.0,0.0,0.0
6013428.0,750.0,0.0,0.0
