Tempo_�s,Ciclo_CPU,Referencia_Motor,Vel_Real
884.0,0.0,0.0,0.0
1796.0,0.0,0.0,0.0
2744.0,0.0,0.0,0.0
4324.0,0.0,0.0,0.0
23032.0,0.0,0.0,0.0
42804.0,0.0,0.0,0.0
62552.0,0.0,0.0,0.0
82428.0,0.0,0.0,0.0
102072.0,0.0,0.0,0.0
122892.0,0.0,0.0,0.0
143672.0,0.0,0.0,0.0
164516.0,0.0,0.0,0.0
185272.0,0.0,0.0,0.0
206084.0,0.0,0.0,0.0
226872.0,0.0,0.0,0.0
247788.0,0.0,0.0,0.0
268472.0,0.0,0.0,0.0
289284.0,0.0,0.0,0.0
310072.0,0.0,0.0,0.0
330916.0,0.0,0.0,0.0
351672.0,0.0,0.0,0.0
372484.0,0.0,0.0,0.0
393272.0,0.0,0.0,0.0
414188.0,0.0,0.0,0.0
434872.0,0.0,0.0,0.0
455692.0,0.0,0.0,0.0
476472.0,0.0,0.0,0.0
497316.0,0.0,0.0,0.0
518072.0,0.0,0.0,0.0
538884.0,0.0,0.0,0.0
559704.0,0.0,0.0,0.0
580596.0,1.57,1400.0,0.0
604420.0,1.57,1400.0,0.0
628324.0,1.57,1400.0,0.0
652260.0,1.57,1400.0,0.0
676196.0,1.57,1400.0,0.0
700100.0,1.57,1400.0,0.0
724004.0,1.57,1400.0,0.0
747940.0,1.57,1400.0,0.0
771956.0,2.66,1400.0,0.0
795780.0,2.66,1400.0,0.0
819684.0,2.66,1400.0,0.0
843620.0,2.66,1400.0,0.0
867556.0,2.66,1400.0,0.0
891460.0,2.66,1400.0,0.0
915364.0,2.66,1400.0,0.0
939300.0,2.66,1400.0,0.0
963316.0,3.76,1400.0,0.0
987148.0,3.76,1400.0,0.0
1011044.0,3.76,1400.0,0.0
1036020.0,3.76,1400.0,0.0
1060996.0,3.76,1400.0,0.0
1085940.0,3.76,1400.0,0.0
1110884.0,3.76,1400.0,0.0
1135860.0,3.76,1400.0,0.0
1160916.0,4.86,1400.0,0.0
1185780.0,4.86,1400.0,0.0
1210724.0,4.86,1400.0,0.0
1235700.0,4.86,1400.0,0.0
1260756.0,5.95,1400.0,0.0
1285620.0,5.95,1400.0,0.0
1310564.0,5.95,1400.0,0.0
1335540.0,5.95,1400.0,0.0
1360516.0,5.95,1400.0,0.0
1385460.0,5.95,1400.0,0.0
1410404.0,5.95,1400.0,0.0
1435380.0,5.95,1400.0,0.0
1460440.0,7.05,1400.0,0.0
1485300.0,7.05,1400.0,0.0
1510244.0,7.05,1400.0,0.0
1535220.0,7.05,1400.0,0.0
1560196.0,7.05,1400.0,0.0
1585140.0,7.05,1400.0,0.0
1610084.0,7.05,1400.0,0.0
1635060.0,7.05,1400.0,0.0
1660120.0,8.14,1400.0,0.0
1684980.0,8.14,1400.0,0.0
1709924.0,8.14,1400.0,0.0
1734900.0,8.14,1400.0,0.0
1759960.0,9.24,1400.0,0.0
1784820.0,9.24,1400.0,0.0
1809764.0,9.24,1400.0,0.0
1834740.0,9.24,1400.0,0.0
1859800.0,10.34,1400.0,0.0
1885700.0,10.34,1400.0,0.0
1911716.0,10.34,1400.0,0.0
1937700.0,10.34,1400.0,0.0
1963800.0,11.43,1400.0,0.0
1989700.0,11.43,1400.0,0.0
2015716.0,11.43,1400.0,0.0
2041700.0,11.43,1400.0,0.0
2067852.0,12.53,1400.0,17.0
2094740.0,12.53,1400.0,17.0
2121796.0,12.53,1400.0,0.0
2147780.0,12.53,1400.0,0.0
2173880.0,13.62,1400.0,0.0
2199780.0,13.62,1400.0,0.0
2225796.0,13.62,1400.0,0.0
2251788.0,13.62,1400.0,0.0
2277880.0,14.72,1400.0,0.0
2303780.0,14.72,1400.0,0.0
2329796.0,14.72,1400.0,0.0
2355780.0,14.72,1400.0,0.0
2381884.0,15.82,1400.0,0.0
2407780.0,15.82,1400.0,0.0
2433796.0,15.82,1400.0,0.0
2459780.0,15.82,1400.0,0.0
2485880.0,16.91,1400.0,0.0
2511780.0,16.91,1400.0,0.0
2537796.0,16.91,1400.0,0.0
2563780.0,16.91,1400.0,0.0
