Tempo_µs,Ciclo_CPU,Referencia_Motor,Vel_Real
32.0,20.0,0.0,0.0
456.0,424.0,0.0,0.0
972.0,512.0,0.0,0.0
1500.0,532.0,0.0,0.0
2064.0,556.0,0.0,0.0
2632.0,576.0,0.0,0.0
14720.0,12084.0,0.0,0.0
32400.0,17680.0,0.0,0.0
50100.0,17684.0,0.0,0.0
67760.0,17676.0,0.0,0.0
85440.0,17684.0,0.0,0.0
103140.0,17680.0,0.0,0.0
121840.0,18716.0,0.0,0.0
140560.0,18724.0,0.0,0.0
159300.0,18720.0,0.0,0.0
178000.0,18716.0,0.0,0.0
196720.0,18724.0,0.0,0.0
215460.0,18716.0,0.0,0.0
234160.0,18724.0,0.0,0.0
252880.0,18716.0,0.0,0.0
271620.0,18724.0,0.0,0.0
290320.0,18720.0,0.0,0.0
309040.0,18716.0,0.0,0.0
327780.0,18720.0,0.0,0.0
346480.0,18724.0,0.0,0.0
365200.0,18716.0,0.0,0.0
383940.0,18720.0,0.0,0.0
402640.0,18720.0,0.0,0.0
421360.0,18720.0,0.0,0.0
440100.0,18720.0,0.0,0.0
458800.0,18720.0,0.0,0.0
477520.0,18724.0,0.0,0.0
496260.0,18716.0,0.0,0.0
514980.0,18724.0,750.0,0.0
535776.0,20792.0,750.0,0.0
556652.0,20800.0,750.0,42.0
578416.0,21840.0,750.0,42.0
600332.0,21840.0,750.0,107.0
623136.0,22880.0,750.0,107.0
646092.0,22880.0,750.0,235.0
668896.0,22880.0,750.0,235.0
691852.0,22880.0,750.0,300.0
714656.0,22880.0,750.0,300.0
737612.0,22880.0,750.0,342.0
760416.0,22880.0,750.0,342.0
783380.0,22880.0,750.0,321.0
806176.0,22880.0,750.0,321.0
829132.0,22884.0,750.0,407.0
851936.0,22876.0,750.0,407.0
874892.0,22880.0,750.0,364.0
897696.0,22880.0,750.0,364.0
920656.0,22880.0,750.0,428.0
943456.0,22880.0,750.0,428.0
966412.0,22880.0,750.0,450.0
989224.0,22884.0,750.0,450.0
1012172.0,22876.0,750.0,492.0
1036020.0,23924.0,750.0,492.0
1060012.0,23916.0,750.0,535.0
1083856.0,23920.0,750.0,535.0
1107852.0,23920.0,750.0,492.0
1131696.0,23920.0,750.0,492.0
1155692.0,23920.0,750.0,578.0
1179536.0,23920.0,750.0,578.0
1203532.0,23920.0,750.0,578.0
1227376.0,23920.0,750.0,578.0
1251376.0,23920.0,750.0,600.0
1275216.0,23920.0,750.0,600.0
1299212.0,23920.0,750.0,621.0
1323064.0,23928.0,750.0,621.0
1347052.0,23912.0,750.0,621.0
1370896.0,23920.0,750.0,621.0
1394892.0,23920.0,750.0,578.0
1418736.0,23920.0,750.0,578.0
1442732.0,23920.0,750.0,685.0
1466576.0,23920.0,750.0,685.0
1490580.0,23924.0,750.0,621.0
1514416.0,23916.0,750.0,621.0
1538412.0,23920.0,750.0,707.0
1562256.0,23920.0,750.0,707.0
1586260.0,23920.0,750.0,707.0
1610096.0,23920.0,750.0,707.0
1634092.0,23920.0,750.0,642.0
1657936.0,23920.0,750.0,642.0
1681932.0,23920.0,750.0,664.0
1705776.0,23920.0,750.0,664.0
1729772.0,23920.0,750.0,664.0
1753616.0,23920.0,750.0,664.0
1777608.0,23920.0,750.0,750.0
1801456.0,23920.0,750.0,750.0
1825452.0,23920.0,750.0,664.0
1849296.0,23920.0,750.0,664.0
1873292.0,23920.0,750.0,707.0
1897136.0,23920.0,750.0,707.0
1921140.0,23920.0,750.0,707.0
1944976.0,23920.0,750.0,707.0
1968972.0,23924.0,750.0,707.0
1992816.0,23916.0,750.0,707.0
2016812.0,23924.0,750.0,728.0
2040656.0,23916.0,750.0,728.0
2064652.0,23920.0,750.0,707.0
2088496.0,23920.0,750.0,707.0
2112492.0,23920.0,750.0,707.0
2136336.0,23920.0,750.0,707.0
2160332.0,23920.0,750.0,685.0
2184176.0,23920.0,750.0,685.0
2208172.0,23920.0,750.0,707.0
2232016.0,23920.0,750.0,707.0
2256012.0,23920.0,750.0,707.0
2279856.0,23920.0,750.0,707.0
2303852.0,23920.0,750.0,707.0
2327696.0,23920.0,750.0,707.0
2351692.0,23920.0,750.0,685.0
2375540.0,23924.0,750.0,685.0
2399532.0,23916.0,750.0,664.0
2423376.0,23920.0,750.0,664.0
2447380.0,23920.0,750.0,642.0
2471216.0,23920.0,750.0,642.0
2495212.0,23920.0,750.0,664.0
2519064.0,23920.0,750.0,664.0
2543052.0,23920.0,750.0,792.0
2566896.0,23920.0,750.0,792.0
2590892.0,23920.0,750.0,664.0
2614736.0,23920.0,750.0,664.0
2638732.0,23920.0,750.0,792.0
2662576.0,23920.0,750.0,792.0
2686572.0,23924.0,750.0,685.0
2710416.0,23916.0,750.0,685.0
2734412.0,23920.0,750.0,707.0
2758256.0,23920.0,750.0,707.0
2782256.0,23920.0,750.0,792.0
2806096.0,23924.0,750.0,792.0
2830088.0,23916.0,750.0,750.0
2853944.0,23928.0,750.0,750.0
2877932.0,23912.0,750.0,707.0
2901776.0,23920.0,750.0,707.0
2925772.0,23920.0,750.0,728.0
2949616.0,23920.0,750.0,728.0
2973612.0,23920.0,750.0,707.0
2997456.0,23924.0,750.0,707.0
3021452.0,23916.0,750.0,771.0
3045296.0,23920.0,750.0,771.0
3069292.0,23920.0,750.0,835.0
3093136.0,23920.0,750.0,835.0
3117140.0,23920.0,750.0,707.0
3140976.0,23924.0,750.0,707.0
3164972.0,23916.0,750.0,664.0
3188816.0,23920.0,750.0,664.0
3212812.0,23920.0,750.0,707.0
3236656.0,23920.0,750.0,707.0
3260648.0,23924.0,750.0,750.0
3284496.0,23916.0,750.0,750.0
3308492.0,23920.0,750.0,685.0
3332336.0,23924.0,750.0,685.0
3356332.0,23916.0,750.0,835.0
3380176.0,23920.0,750.0,835.0
3404172.0,23920.0,750.0,771.0
3428016.0,23920.0,750.0,771.0
3452020.0,23920.0,750.0,792.0
3475856.0,23920.0,750.0,792.0
3499860.0,23920.0,750.0,771.0
3523696.0,23920.0,750.0,771.0
3547692.0,23920.0,750.0,707.0
3571536.0,23920.0,750.0,707.0
3595532.0,23920.0,750.0,664.0
3619376.0,23920.0,750.0,664.0
3643372.0,23920.0,750.0,664.0
3667216.0,23924.0,750.0,664.0
3691212.0,23916.0,750.0,642.0
3715056.0,23920.0,750.0,642.0
3739052.0,23924.0,750.0,771.0
3762896.0,23916.0,750.0,771.0
3786892.0,23920.0,750.0,814.0
3810736.0,23920.0,750.0,814.0
3834740.0,23920.0,750.0,664.0
3858576.0,23920.0,750.0,664.0
3882572.0,23920.0,750.0,664.0
3906416.0,23920.0,750.0,664.0
3930408.0,23920.0,750.0,750.0
3954256.0,23920.0,750.0,750.0
3978256.0,23920.0,750.0,728.0
4002096.0,23920.0,750.0,728.0
4026100.0,23924.0,750.0,664.0
4049944.0,23916.0,750.0,664.0
4073932.0,23920.0,750.0,878.0
4097776.0,23920.0,750.0,878.0
4121772.0,23920.0,750.0,707.0
4145616.0,23920.0,750.0,707.0
4169612.0,23920.0,750.0,664.0
4193456.0,23920.0,750.0,664.0
4217452.0,23920.0,750.0,792.0
4241296.0,23920.0,750.0,792.0
4265292.0,23920.0,750.0,814.0
4289136.0,23924.0,750.0,814.0
4313140.0,23916.0,750.0,685.0
4336976.0,23920.0,750.0,685.0
4360972.0,23920.0,750.0,664.0
4384824.0,23928.0,750.0,664.0
4408812.0,23912.0,750.0,664.0
4432656.0,23924.0,750.0,664.0
4456652.0,23916.0,750.0,814.0
4480496.0,23920.0,750.0,814.0
4504492.0,23924.0,750.0,707.0
4528336.0,23920.0,750.0,707.0
4552332.0,23916.0,750.0,707.0
4576176.0,23920.0,750.0,707.0
4600172.0,23920.0,750.0,642.0
4624016.0,23920.0,750.0,642.0
4648016.0,23920.0,750.0,750.0
4671856.0,23920.0,750.0,750.0
4695852.0,23920.0,750.0,814.0
4719696.0,23920.0,750.0,814.0
4743692.0,23924.0,750.0,685.0
4767536.0,23916.0,750.0,685.0
4791532.0,23920.0,750.0,685.0
4815376.0,23920.0,750.0,685.0
4839368.0,23920.0,750.0,750.0
4863216.0,23920.0,750.0,750.0
4887212.0,23920.0,750.0,728.0
4911056.0,23920.0,750.0,728.0
4935052.0,23920.0,750.0,707.0
4958904.0,23928.0,750.0,707.0
4982900.0,23912.0,750.0,771.0
5006736.0,23920.0,750.0,771.0
5030732.0,23920.0,750.0,685.0
5054576.0,23920.0,750.0,685.0
5078572.0,23920.0,750.0,728.0
5102416.0,23920.0,750.0,728.0
5126412.0,23920.0,750.0,685.0
5150256.0,23920.0,750.0,685.0
5174252.0,23920.0,750.0,814.0
5198096.0,23920.0,750.0,814.0
5222100.0,23920.0,750.0,642.0
5245936.0,23920.0,750.0,642.0
5269932.0,23924.0,750.0,814.0
5293776.0,23916.0,750.0,814.0
5317780.0,23920.0,750.0,642.0
5341616.0,23924.0,750.0,642.0
5365612.0,23916.0,750.0,664.0
5389456.0,23924.0,750.0,664.0
5413452.0,23916.0,750.0,771.0
5437296.0,23920.0,750.0,771.0
5461292.0,23920.0,750.0,814.0
5485136.0,23920.0,750.0,814.0
5509140.0,23920.0,750.0,664.0
5532976.0,23920.0,750.0,664.0
5556972.0,23920.0,750.0,664.0
5580824.0,23924.0,750.0,664.0
5604812.0,23916.0,750.0,664.0
