Tempo_µs,Ciclo_CPU,Referencia_Motor,Vel_Real
1376640.0,1376400.0,0.0,0.0
1408180.0,196.0,1125.0,0.0
1428500.0,192.0,1125.0,0.0
1450140.0,192.0,1125.0,214.0
1472628.0,192.0,1125.0,214.0
1494148.0,200.0,1125.0,428.0
1518780.0,196.0,1125.0,428.0
1540116.0,264.0,1125.0,428.0
1563820.0,204.0,1125.0,857.0
1586268.0,192.0,1125.0,857.0
1609916.0,204.0,1125.0,857.0
1632420.0,204.0,1125.0,857.0
1655884.0,200.0,1125.0,857.0
1678372.0,192.0,1125.0,1071.0
1701924.0,192.0,1125.0,857.0
1725604.0,204.0,1157.0,1071.0
1749084.0,192.0,1157.0,1071.0
1772652.0,192.0,1157.0,1071.0
1796156.0,192.0,1157.0,1071.0
1820692.0,200.0,1157.0,1071.0
1845340.0,192.0,1157.0,1071.0
1868900.0,192.0,1157.0,1285.0
1892428.0,200.0,1157.0,1071.0
1917124.0,196.0,1157.0,1285.0
1940492.0,192.0,1157.0,1285.0
1963252.0,204.0,1157.0,1285.0
1988716.0,192.0,1157.0,1285.0
2011276.0,272.0,1157.0,1285.0
2035792.0,192.0,1189.0,1285.0
2060484.0,196.0,1189.0,1500.0
2083996.0,200.0,1189.0,1500.0
2107556.0,196.0,1189.0,1285.0
2132028.0,192.0,1189.0,1500.0
2155560.0,200.0,1189.0,1285.0
2179112.0,192.0,1189.0,1285.0
2203820.0,196.0,1189.0,1500.0
2226308.0,200.0,1189.0,1500.0
2251836.0,192.0,1189.0,1285.0
2275372.0,192.0,1189.0,1500.0
2298912.0,192.0,1189.0,1500.0
2323596.0,200.0,1189.0,1285.0
2347140.0,192.0,1232.0,1500.0
2370668.0,192.0,1232.0,1500.0
2394188.0,192.0,1232.0,1285.0
2418700.0,200.0,1232.0,1500.0
2443396.0,192.0,1232.0,1285.0
2466924.0,192.0,1232.0,1500.0
2490476.0,192.0,1232.0,1285.0
2514956.0,192.0,1232.0,1500.0
