Tempo_µs,Ciclo_CPU,Referencia_Motor,Vel_Real
1376640.0,1376400.0,0.0,0.0
1408180.0,196.0,1125.0,0.0
1428492.0,192.0,1157.0,0.0
1450164.0,196.0,1189.0,214.0
1472652.0,192.0,1232.0,428.0
1494204.0,200.0,1264.0,642.0
1518632.0,192.0,1296.0,642.0
1540140.0,264.0,1328.0,642.0
1563820.0,204.0,1360.0,642.0
1586244.0,192.0,1382.0,857.0
1609748.0,192.0,1414.0,1071.0
1633468.0,204.0,1435.0,1071.0
1658012.0,196.0,1446.0,1285.0
1681532.0,188.0,1467.0,1071.0
1705068.0,192.0,1478.0,1285.0
1729572.0,192.0,1489.0,1285.0
1752124.0,200.0,1489.0,1285.0
1777780.0,192.0,1500.0,1500.0
1800348.0,192.0,1489.0,1285.0
1824860.0,192.0,1489.0,1285.0
1849356.0,192.0,1478.0,1285.0
1873092.0,196.0,1467.0,1500.0
1896616.0,204.0,1446.0,1500.0
1920132.0,192.0,1435.0,1500.0
1944652.0,192.0,1414.0,1500.0
1967148.0,192.0,1382.0,1500.0
1992860.0,192.0,1360.0,1500.0
2016412.0,192.0,1328.0,1500.0
2039940.0,192.0,1296.0,1500.0
2064424.0,192.0,1264.0,1500.0
2088132.0,196.0,1232.0,1500.0
2112644.0,192.0,1189.0,1500.0
2135052.0,264.0,1157.0,1500.0
2159692.0,200.0,1125.0,1500.0
2183268.0,192.0,1082.0,1500.0
2207796.0,192.0,1050.0,1500.0
2231308.0,192.0,1007.0,1500.0
2256004.0,192.0,975.0,1500.0
2278484.0,192.0,942.0,1500.0
2300988.0,192.0,910.0,1500.0
2324644.0,196.0,878.0,1500.0
2347140.0,192.0,857.0,1500.0
2369628.0,200.0,825.0,1285.0
2392124.0,192.0,803.0,1500.0
2415780.0,204.0,792.0,1285.0
2437212.0,192.0,771.0,1285.0
2461732.0,200.0,760.0,1285.0
2483240.0,200.0,750.0,1285.0
2506908.0,192.0,750.0,1071.0
