Tempo_µs,Ciclo_CPU,Referencia_Motor,Vel_Real
1376640.0,1376400.0,0.0,0.0
1408188.0,196.0,1157.0,0.0
1428500.0,192.0,1232.0,214.0
1451068.0,192.0,1296.0,214.0
1474756.0,196.0,1360.0,428.0
1496276.0,208.0,1414.0,642.0
1520716.0,192.0,1446.0,642.0
1542220.0,264.0,1478.0,857.0
1565716.0,192.0,1489.0,857.0
1589356.0,192.0,1489.0,857.0
1611828.0,192.0,1478.0,857.0
1634352.0,192.0,1446.0,1071.0
1659044.0,196.0,1414.0,1285.0
1682588.0,192.0,1360.0,1285.0
1706108.0,192.0,1296.0,1285.0
1730612.0,200.0,1232.0,1285.0
1753164.0,200.0,1157.0,1285.0
1778844.0,192.0,1082.0,1285.0
1802356.0,192.0,1007.0,1500.0
1825900.0,196.0,942.0,1285.0
1849364.0,192.0,878.0,1285.0
1872036.0,196.0,825.0,1285.0
1894564.0,196.0,792.0,1285.0
1918000.0,192.0,760.0,1285.0
1940500.0,196.0,750.0,1285.0
1963196.0,204.0,750.0,1071.0
1986644.0,200.0,760.0,1071.0
2008148.0,264.0,792.0,1285.0
2031632.0,192.0,825.0,1071.0
2054316.0,196.0,878.0,1285.0
2077772.0,188.0,942.0,1071.0
2099220.0,200.0,1007.0,1285.0
2124972.0,196.0,1082.0,1285.0
2148508.0,192.0,1157.0,1071.0
2172028.0,192.0,1232.0,1285.0
2196524.0,192.0,1296.0,1285.0
2219092.0,196.0,1360.0,1285.0
2244764.0,192.0,1414.0,1285.0
2267340.0,196.0,1446.0,1500.0
2291828.0,192.0,1478.0,1285.0
2316328.0,200.0,1489.0,1500.0
2340036.0,196.0,1489.0,1500.0
2363580.0,204.0,1478.0,1285.0
2388124.0,192.0,1446.0,1500.0
2411652.0,192.0,1414.0,1500.0
2434096.0,200.0,1360.0,1500.0
2459844.0,196.0,1296.0,1500.0
2482228.0,192.0,1232.0,1500.0
2506900.0,192.0,1157.0,1500.0
2531356.0,192.0,1082.0,1500.0
2554956.0,200.0,1007.0,1500.0
2579644.0,196.0,942.0,1500.0
