Tempo_µs,Ciclo_CPU,Referencia_Motor,Vel_Real
1376640.0,1376400.0,0.0,0.0
1408180.0,196.0,1125.0,0.0
1428492.0,192.0,1125.0,214.0
1451048.0,192.0,1125.0,214.0
1474716.0,192.0,1125.0,214.0
1496268.0,200.0,1125.0,428.0
1520668.0,192.0,1125.0,428.0
1542196.0,264.0,1125.0,642.0
1565708.0,192.0,1157.0,642.0
1589308.0,192.0,1157.0,642.0
1611812.0,192.0,1157.0,857.0
1634340.0,192.0,1157.0,857.0
1657932.0,192.0,1157.0,857.0
1680476.0,192.0,1157.0,1071.0
1704020.0,192.0,1157.0,1071.0
1728524.0,200.0,1189.0,1071.0
1751052.0,200.0,1189.0,1071.0
1776756.0,200.0,1189.0,1071.0
1799300.0,192.0,1189.0,1285.0
1823780.0,200.0,1189.0,1285.0
1848508.0,196.0,1189.0,1285.0
1872028.0,192.0,1189.0,1285.0
1895580.0,196.0,1232.0,1285.0
1920068.0,192.0,1232.0,1285.0
1943596.0,192.0,1232.0,1285.0
1966100.0,192.0,1232.0,1285.0
1991804.0,192.0,1232.0,1500.0
2014364.0,272.0,1232.0,1285.0
2038892.0,200.0,1232.0,1285.0
2063404.0,192.0,1264.0,1500.0
2086932.0,200.0,1264.0,1285.0
2111644.0,192.0,1264.0,1500.0
2134180.0,196.0,1264.0,1500.0
2158716.0,192.0,1264.0,1500.0
2182212.0,192.0,1264.0,1285.0
2206916.0,196.0,1264.0,1500.0
2230468.0,204.0,1296.0,1500.0
2254948.0,192.0,1296.0,1500.0
2278492.0,192.0,1296.0,1500.0
2302028.0,192.0,1296.0,1500.0
2326548.0,192.0,1296.0,1500.0
2349096.0,196.0,1296.0,1500.0
2373788.0,192.0,1296.0,1500.0
2397252.0,192.0,1328.0,1500.0
2421828.0,196.0,1328.0,1500.0
2446516.0,196.0,1328.0,1500.0
2469988.0,200.0,1328.0,1500.0
2493580.0,192.0,1328.0,1500.0
2518028.0,192.0,1328.0,1500.0
